6678    ,DCNN,DLY3208 ,1800-12-31,1023,1001,F,2999-12-31,1977.0,,ID XREF 1           ,,
6677    ,DCNN,DLY3208 ,1800-12-31,1023,1001,F,2999-12-31,1982.0,,,,
6679    ,DCNN,DRADR35 ,1800-12-31,1023,1001,T,2999-12-31,1996.0,,ID XREF 1           ,,
6679    ,DCNN,HSUN3445,1800-12-31,1023,1001,T,2999-12-31,1996.0,,ID XREF 1           ,,
667701  ,WIND,HWNDAUTO,1800-12-31,1023,1001,T,2999-12-31,1996.0,,,,
667701  ,WIND,HWND6910,1800-12-31,1023,1001,F,2999-12-31,1996.0,,ID XREF 1           ,,
6679    ,DCNN,MODLERAD,1800-12-31,1023,1001,T,2999-12-31,1997.0,,ID XREF 1           ,,
610123  ,RAIN,NCM     ,1800-12-31,1023,1001,T,2999-12-31,,,ID XREF 1           ,,138.0
6679    ,DCNN,NCM     ,1800-12-31,1023,1001,T,2999-12-31,1996.0,,ID XREF 1           ,,138.0
03162   ,WMO ,NCM     ,1800-12-31,1023,1001,F,2999-12-31,,,ID XREF 1           ,,138.0
610122  ,RAIN,NCM     ,1800-12-31,1023,1001,T,2999-12-31,1996.0,,ID XREF 1           ,,138.0
610123  ,RAIN,SREW    ,1800-12-31,1023,1001,T,2999-12-31,,,ID XREF 1           ,,138.0
610122  ,RAIN,SREW    ,1800-12-31,1023,1001,F,2999-12-31,1996.0,,ID XREF 1           ,,138.0
03162   ,WMO ,SREW    ,1800-12-31,1023,1001,F,2999-12-31,,,ID XREF 1           ,,138.0
610123  ,RAIN,SSER    ,1800-12-31,1023,1001,T,2999-12-31,1996.0,,,,
610123  ,RAIN,SSER    ,1800-12-31,1023,1001,F,2999-12-31,1987.0,,,,
03162   ,WMO ,SYNOP   ,1800-12-31,1023,1001,T,2999-12-31,1996.0,,ID XREF 1           ,,138.0
610122  ,RAIN,WADRAIN ,1800-12-31,1023,1001,F,2999-12-31,,,,,
610122  ,RAIN,WAHRAIN ,1800-12-31,1023,1001,T,2999-12-31,1987.0,,ID XREF 1           ,,
626887  ,RAIN,CLMSN   ,1800-12-31,1033,1001,F,2999-12-31,1990.0,,,,
626888  ,RAIN,CLMSN   ,1800-12-31,1033,1001,F,2999-12-31,1990.0,,,,
626888  ,RAIN,NCM     ,1800-12-31,1033,1001,T,2999-12-31,1996.0,,ID XREF 1           ,,139.0
6762    ,DCNN,NCM     ,1800-12-31,1033,1001,T,2999-12-31,1996.0,,ID XREF 1           ,,139.0
03153   ,WMO ,NCM     ,1800-12-31,1033,1001,F,2999-12-31,,,ID XREF 1           ,,139.0
03153   ,WMO ,SREW    ,1800-12-31,1033,1001,F,2999-12-31,,,ID XREF 1           ,,139.0
626888  ,RAIN,SREW    ,1800-12-31,1033,1001,T,2999-12-31,1996.0,,ID XREF 1           ,,139.0
03153   ,WMO ,SYNOP   ,1800-12-31,1033,1001,T,2999-12-31,1996.0,,ID XREF 1           ,,139.0
626887  ,RAIN,WADRAIN ,1800-12-31,1033,1001,F,2999-12-31,1996.0,,ID XREF 1           ,,
630345  ,RAIN,CLMSN   ,1800-12-31,1035,1001,F,2999-12-31,1990.0,,,,
6772    ,DCNN,CLMSN   ,1800-12-31,1035,1001,F,2999-12-31,1990.0,,,,
6772    ,DCNN,DLY3208 ,1800-12-31,1035,1001,T,2999-12-31,1996.0,,ID XREF 1           ,,
630345  ,RAIN,DLY3208 ,1800-12-31,1035,1001,T,2999-12-31,1996.0,,ID XREF 1           ,,
637507  ,RAIN,CLMSN   ,1800-12-31,1039,1001,F,2999-12-31,1990.0,,,,
637508  ,RAIN,CLMSN   ,1800-12-31,1039,1001,F,2999-12-31,1990.0,,,,
6826    ,DCNN,NCM     ,1800-12-31,1039,1001,T,2999-12-31,1963.0,,ID XREF 2           ,,140.0
682602  ,WIND,HWND6910,1800-12-31,1039,1001,T,2999-12-31,1995.0,,,,
682601  ,WIND,HWND6910,1800-12-31,1039,1001,T,2999-12-31,1982.0,,,,
03130   ,WMO ,NCM     ,1800-12-31,1039,1001,F,2999-12-31,,,ID XREF 2           ,,140.0
637508  ,RAIN,WADRAIN ,1800-12-31,1039,1001,T,2999-12-31,1996.0,,,,
637507  ,RAIN,NCM     ,1800-12-31,1039,1001,T,2999-12-31,1976.0,,ID XREF 2           ,,140.0
637496  ,RAIN,CLMSN   ,1800-12-31,1039,1001,F,2999-12-31,1990.0,,,,
637497  ,RAIN,CLMSN   ,1800-12-31,1039,1001,F,2999-12-31,1990.0,,,,
6827    ,DCNN,DRADR35 ,1800-12-31,1039,1001,T,2999-12-31,1996.0,,ID XREF 1           ,,
637496  ,RAIN,NCM     ,1800-12-31,1039,1001,T,2999-12-31,1996.0,,ID XREF 1           ,,140.0
6827    ,DCNN,NCM     ,1800-12-31,1039,1001,T,2999-12-31,1996.0,,ID XREF 1           ,,140.0
03132   ,WMO ,NCM     ,1800-12-31,1039,1001,F,2999-12-31,,,ID XREF 1           ,,140.0
03132   ,WMO ,SREW    ,1800-12-31,1039,1001,F,2999-12-31,,,ID XREF 1           ,,140.0
637496  ,RAIN,SREW    ,1800-12-31,1039,1001,T,2999-12-31,1996.0,,ID XREF 1           ,,140.0
03132   ,WMO ,SYNOP   ,1800-12-31,1039,1001,T,2999-12-31,1996.0,,ID XREF 1           ,,140.0
637497  ,RAIN,WADRAIN ,1800-12-31,1039,1001,F,2999-12-31,1996.0,,,,
385589  ,RAIN,CLMSN   ,1800-12-31,1412,1001,F,2999-12-31,1990.0,,,,
8969    ,DCNN,DLY3208 ,1800-12-31,1412,1001,T,2999-12-31,1996.0,,ID XREF 1           ,,
385589  ,RAIN,DLY3208 ,1800-12-31,1412,1001,T,2999-12-31,1996.0,,ID XREF 1           ,,
376660  ,RAIN,CLMSN   ,1800-12-31,1415,1001,F,2999-12-31,1990.0,,,,
376660  ,RAIN,NCM     ,1800-12-31,1415,1001,T,2999-12-31,1996.0,,ID XREF 1           ,,192.0
8975    ,DCNN,NCM     ,1800-12-31,1415,1001,T,2999-12-31,1996.0,,ID XREF 1           ,,192.0
03823   ,WMO ,NCM     ,1800-12-31,1415,1001,F,2999-12-31,,,ID XREF 1           ,,192.0
03823   ,WMO ,SREW    ,1800-12-31,1415,1001,F,2999-12-31,,,ID XREF 1           ,,192.0
376660  ,RAIN,SREW    ,1800-12-31,1415,1001,T,2999-12-31,1996.0,,ID XREF 1           ,,192.0
03823   ,WMO ,SYNOP   ,1800-12-31,1415,1001,T,2999-12-31,1996.0,,ID XREF 1           ,,192.0
386255  ,RAIN,CLMSN   ,1800-12-31,1418,1001,F,2999-12-31,1990.0,,,,
8987    ,DCNN,CLMSN   ,1800-12-31,1418,1001,F,2999-12-31,1990.0,,,,
8987    ,DCNN,DLY3208 ,1800-12-31,1418,1001,T,2999-12-31,1996.0,,ID XREF 1           ,,
386255  ,RAIN,DLY3208 ,1800-12-31,1418,1001,T,2999-12-31,1996.0,,ID XREF 1           ,,
916165  ,RAIN,CLMSN   ,1800-12-31,285,1001,F,2999-12-31,1990.0,,,,
1980    ,DCNN,NCM     ,1800-12-31,285,1001,T,2999-12-31,1996.0,,ID XREF 1           ,,41.0
03176   ,WMO ,NCM     ,1800-12-31,285,1001,F,2999-12-31,,,ID XREF 1           ,,41.0
916165  ,RAIN,NCM     ,1800-12-31,285,1001,T,2999-12-31,1996.0,,ID XREF 1           ,,41.0
03176   ,WMO ,SYNOP   ,1800-12-31,285,1001,T,2999-12-31,1996.0,,ID XREF 1           ,,41.0
913320  ,RAIN,CLMSN   ,1800-12-31,286,1001,F,2999-12-31,1990.0,,,,
1988    ,DCNN,CLMSN   ,1800-12-31,286,1001,F,2999-12-31,1990.0,,,,
1988    ,DCNN,DLY3208 ,1800-12-31,286,1001,T,2999-12-31,1996.0,,ID XREF 1           ,,
913320  ,RAIN,DLY3208 ,1800-12-31,286,1001,T,2999-12-31,1996.0,,ID XREF 1           ,,
008886  ,RAIN,CLMSN   ,1800-12-31,289,1001,F,2999-12-31,1990.0,,,,
008887  ,RAIN,CLMSN   ,1800-12-31,289,1001,F,2999-12-31,1990.0,,,,
2007    ,DCNN,CLMSN   ,1800-12-31,289,1001,F,2999-12-31,1990.0,,,,
